English,German
i,ich
the,Die
to,Zu
it,Es
and,Und
that,Das
of,von
is,Ist
in,In
what,Was
we,Wir
me,Mich
this,Das
he,Er
for,für
my,Mein
on,An
have,haben
your,dein
do,Tun
was,War
no,NEIN
not,nicht
be,Sei
are,Sind
don't,nicht
know,wissen
can,dürfen
with,mit
but,Aber
all,alle
so,Also
just,Nur
there,Dort
here,Hier
they,Sie
like,wie
get,erhalten
she,sie
go,gehen
if,Wenn
right,Rechts
out,aus
about,um
up,hoch
at,bei
him,ihn
now,Jetzt
oh,Oh
one,eins
come,kommen
well,Also
her,ihr
how,Wie
yeah,Ja
will,Wille
got,bekommen
want,wollen
think,denken
as,als
see,sehen
did,tat
good,Gut
who,WHO
why,Warum
from,aus
let,lassen
his,sein
yes,Ja
when,Wann
going,gehen
time,Zeit
an,ein
okay,Okay
back,zurück
look,sehen
us,uns
would,würde
them,ihnen
where,Wo
were,war
take,nehmen
then,Dann
had,hatte
or,oder
been,gewesen
our,unser
gonna,wird
tell,erzählen
really,Wirklich
man,Mann
some,manche
say,sagen
hey,Hey
could,könnte
by,von
need,brauchen
something,etwas
has,hat
too,zu
more,mehr
way,Weg
down,runter
make,machen
very,sehr
never,niemals
only,nur
people,Menschen
over,über
because,Weil
little,wenig
please,Bitte
love,Liebe
should,sollen
mean,bedeuten
said,sagte
sorry,Entschuldigung
give,geben
off,aus
am,Bin
thank,Dank
any,beliebig
two,zwei
even,sogar
much,viel
doing,tun
sure,Sicher
thing,Ding
these,diese
help,helfen
first,Erste
into,hinein
anything,irgendetwas
still,Trotzdem
find,finden
life,Leben
nothing,Nichts
sir,Herr
day,Tag
god,Gott
work,arbeiten
their,ihre
uh,äh
again,wieder
maybe,Vielleicht
must,muss
before,Vor
other,andere
wait,Warten
stop,stoppen
call,Anruf
after,nach
won,gewonnen
talk,sprechen
away,weg
than,als
thought,Gedanke
home,heim
night,Nacht
put,setzen
great,Großartig
those,diese
last,zuletzt
better,besser
everything,alles
told,erzählt
mr.,Herr.
new,neu
things,Dinge
always,stets
keep,halten
long,lang
years,Jahre
leave,verlassen
does,tut
money,Geld
around,um
doesn,tut
name,Name
place,Ort
ever,immer
feel,fühlen
guys,Jungs
father,Vater
guy,Kerl
made,gemacht
old,alt
isn,istn
which,welche
big,groß
lot,viel
done,Erledigt
hello,Hallo
nice,Hübsch
believe,glauben
girl,Mädchen
someone,jemand
fine,Bußgeld
thanks,Danke
wanted,gesucht
kind,Art
coming,Kommen
house,Haus
every,jeden
ok,OK
through,durch
being,Sein
course,Kurs
stay,bleiben
left,links
dad,Papa
enough,genug
happened,passiert
came,kam
may,Mai
mother,Mutter
wrong,falsch
world,Welt
bad,schlecht
might,könnte
three,drei
today,Heute
listen,Hören
another,ein anderer
understand,verstehen
hear,hören
remember,erinnern
ask,fragen
own,eigen
same,Dasselbe
show,zeigen
else,anders
kill,töten
talking,reden
found,gefunden
next,nächste
getting,bekommen
care,Pflege
car,Auto
looking,suchen
son,Sohn
try,versuchen
woman,Frau
went,ging
hi,Hi
dead,tot
many,viele
mind,Geist
wasn,war
friend,Freund
best,am besten
mom,Mama
hell,Hölle
morning,Morgen
trying,versuchen
boy,Junge
together,zusammen
yourself,selbst
job,Arbeit
saw,gesehen
family,Familie
real,real
without,ohne
baby,Baby
room,Zimmer
wouldn,würde
already,bereits
move,bewegen
most,am meisten
seen,gesehen
live,live
miss,vermissen
actually,Genau genommen
huh,huh
shit,Scheisse
both,beide
heard,gehört
once,einmal
ready,bereit
head,Kopf
called,angerufen
used,gebraucht
idea,Idee
knew,wusste
hold,halten
happy,Glücklich
door,Tür
such,solch
fuck,Scheiße
brother,Bruder
also,Auch
pretty,hübsch
bit,bisschen
took,nahm
haven,Oase
yet,noch
men,Männer
whole,ganz
start,Start
use,verwenden
while,während
since,seit
wife,Gattin
days,Tage
guess,erraten
tomorrow,morgen
matter,Gegenstand
meet,treffen
bring,bringen
tonight,heute Abend
everyone,alle
run,laufen
wanna,will
hard,hart
ah,Ah
alone,allein
myself,ich selbst
school,Schule
gone,gegangen
um,Äh
end,Ende
saying,Sprichwort
phone,Telefon
play,spielen
looks,sieht aus
couldn,konnte
fucking,Ficken
problem,Problem
few,wenige
friends,Freunde
gotta,muss
ago,vor
open,offen
anyone,irgendjemand
killed,getötet
hope,Hoffnung
face,Gesicht
until,bis
lost,verloren
police,Polizei
excuse,Entschuldigung
turn,drehen
business,Geschäft
case,Fall
